flattened_themes_2,Category
MILITARY,Military
ECONOMICS,Economics
ECON,Economics
HEALTH,Health
ELECTION,Government
GOVERNMENT,Government
GOV,Government
IMPEACHMENT,Government
INFRASTRUCTURE,Infrastructure
AGRICULTURE,Agriculture
ARMEDCONFLICT,Violence
ASSASSINATION,Violence
AVIATION,Aviation
MARKET,Economics
CEASEFIRE,Peace
CREDIT,Market
CORRUPTION,Government
CRIME,Violence
ATTACK,Violence
CYBER,Technology
DEATH,Violence
DEFECTION,International Politics
DEMOCRACY,Government
DISABILITY,Health
DISCRIMINATION,Social Inequality
DRONE,Technology
EDUCATION,Education
ENV,Environment
OWNERSHIP,Policy
FOOD,Food
FREESPEECH,Social Inequality
HARASSMENT,Violence
FUELPRICES,Market
FUELPRICES,Economics
HATE,Social Inequality